second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
778,52,49,22,26
779,57,54,23,28
780,52,57,22,21
781,48,63,17,28
782,56,62,16,32
783,48,59,20,27
784,46,54,21,34
785,39,56,22,23
786,38,62,23,29
787,39,64,26,27
788,46,60,27,38
789,51,59,24,34
790,35,60,25,34
791,43,64,32,34
792,45,66,35,30
793,44,56,36,32
794,51,55,43,33
795,53,55,42,30
796,43,60,47,34
797,41,59,37,33
798,46,58,43,29
799,62,66,44,25
800,53,60,36,29
801,50,47,40,29
802,51,55,45,26
803,56,59,44,24
804,49,48,41,31
805,43,50,35,29
806,43,51,34,26
807,50,64,39,27
808,46,65,33,31
809,47,57,30,22
810,51,59,32,23
811,60,48,26,26
812,49,44,36,23
813,52,39,41,25
814,55,62,39,23
815,57,52,38,22
816,46,58,38,20
817,38,59,41,18
818,49,57,40,15
819,44,62,32,17
820,47,51,38,18
821,45,52,43,14
822,45,45,37,22
823,44,50,31,26
824,40,61,31,26
825,38,47,39,28
826,40,51,35,29
827,43,52,29,29
828,37,55,37,29
829,42,60,32,32
830,44,50,35,29
831,35,56,31,39
832,45,58,38,38
833,41,57,36,28
834,42,53,37,26
835,46,59,36,25
836,46,64,32,26
837,49,57,34,26
838,42,69,30,20
839,47,58,29,29
840,44,60,27,31
841,51,60,30,23
842,51,61,30,24
843,45,68,31,28
844,44,66,31,21
845,41,65,31,22
846,42,68,35,23
847,36,78,33,25
848,44,56,34,30
849,41,69,30,21
850,39,74,40,20
851,40,57,41,21
852,50,66,33,24
853,34,66,40,22
854,40,75,37,29
855,46,68,39,21
856,47,64,38,29
857,41,67,39,28
858,45,66,33,28
859,45,66,37,28
860,43,62,37,23
861,47,65,31,30
862,48,62,33,29
863,42,81,28,25
864,43,61,31,29
865,57,58,36,24
866,44,63,31,28
867,49,58,30,30
868,38,63,33,25
869,41,50,27,38
870,38,55,29,36
871,47,72,26,36
872,52,55,25,39
873,50,68,21,33
874,43,76,21,34
875,49,60,22,40
876,41,70,25,37
877,43,65,20,34
878,41,65,24,30
879,34,72,28,26
880,43,63,29,26
881,41,63,29,33
882,40,69,30,32
883,48,73,34,29
884,30,64,31,42
885,51,64,26,42
886,37,60,26,37
887,26,62,29,43
888,32,66,31,40
889,36,64,34,40
890,37,50,35,37
891,33,53,30,39
892,35,54,34,37
893,39,53,39,35
894,41,60,35,33
895,45,47,33,35
896,44,51,35,38
897,41,65,32,44
898,45,71,31,38
899,53,63,35,42
900,37,57,34,52
901,46,61,36,51
902,38,64,32,49
903,37,66,38,51
904,41,61,24,54
905,47,62,27,52
906,39,64,40,47
907,37,56,33,51
908,38,57,33,41
909,41,74,30,43
910,31,66,28,40
911,36,79,26,48
912,29,66,30,55
913,35,52,34,52
914,40,65,34,47
915,30,63,31,46
916,39,67,33,39
917,41,61,30,41
918,39,61,34,38
919,42,69,33,34
920,36,59,33,38
921,26,61,27,43
922,43,59,34,39
923,36,61,24,29
924,50,67,23,46
925,50,63,22,35
926,45,68,24,33
927,42,66,26,30
928,47,81,18,38
929,44,68,25,35
930,49,68,25,35
931,42,70,26,28
932,50,63,32,24
933,52,55,28,29
934,49,60,30,28
935,55,59,22,28
936,47,58,22,34
937,48,60,25,34
938,45,66,27,32
939,49,57,24,32
940,38,57,23,32
941,54,54,27,29
